source;value
Microphone 1 Level;81
Microphone 2 Level;41
Microphone 2 Level;80
Microphone 2 Level;42
Microphone 2 Level;81
Microphone 2 Level;73
Microphone 1 Level;74
Microphone 2 Level;46
Microphone 2 Level;70
Microphone 2 Level;74
Microphone 1 Level;66
Microphone 1 Level;54
Microphone 2 Level;62
Microphone 1 Level;60
Microphone 2 Level;60
Microphone 1 Level;65
Microphone 1 Level;55
Microphone 1 Level;57
Microphone 1 Level;63
Microphone 1 Level;61
Microphone 2 Level;50
Microphone 1 Level;75
Microphone 1 Level;83
Microphone 1 Level;82
Microphone 1 Level;45
Microphone 2 Level;85
Microphone 1 Level;43
