Date;#
24/12/2013;152
25/12/2013;25
26/12/2013;20
27/12/2013;110
28/12/2013;44
29/12/2013;43
30/12/2013;191
31/12/2013;92
01/01/2014;47
02/01/2014;22
03/01/2014;20
04/01/2014;159
05/01/2014;141
06/01/2014;40
07/01/2014;192
08/01/2014;113
09/01/2014;333
10/01/2014;170
11/01/2014;52
12/01/2014;147
13/01/2014;179
14/01/2014;137
15/01/2014;131
16/01/2014;123
17/01/2014;107
18/01/2014;38
19/01/2014;29
20/01/2014;119
21/01/2014;119
22/01/2014;136
23/01/2014;132
24/01/2014;111
25/01/2014;40
26/01/2014;37
27/01/2014;124
28/01/2014;158
29/01/2014;78
30/01/2014;112
31/01/2014;92
01/02/2014;214
02/02/2014;38
03/02/2014;29
04/02/2014;139
05/02/2014;129
06/02/2014;185
07/02/2014;154
08/02/2014;23
09/02/2014;124
10/02/2014;156
11/02/2014;52
12/02/2014;99
13/02/2014;112
14/02/2014;138
15/02/2014;40
16/02/2014;40
17/02/2014;161
18/02/2014;112
19/02/2014;123
20/02/2014;133
21/02/2014;118
22/02/2014;29
23/02/2014;52
24/02/2014;130
25/02/2014;136
26/02/2014;98
27/02/2014;130
28/02/2014;122
01/03/2014;165
02/03/2014;146
03/03/2014;97
04/03/2014;120
05/03/2014;39
06/03/2014;145
07/03/2014;127
08/03/2014;37
09/03/2014;122
10/03/2014;122
11/03/2014;161
12/03/2014;91
13/03/2014;106
14/03/2014;134
15/03/2014;26
16/03/2014;56
17/03/2014;168
18/03/2014;138
19/03/2014;143
20/03/2014;93
21/03/2014;107
22/03/2014;20
23/03/2014;43
24/03/2014;124
25/03/2014;102
26/03/2014;108
27/03/2014;100
28/03/2014;115
29/03/2014;23
30/03/2014;41
31/03/2014;171
01/04/2014;56
02/04/2014;144
03/04/2014;93
04/04/2014;123
05/04/2014;37
06/04/2014;160
07/04/2014;123
08/04/2014;154
09/04/2014;171
10/04/2014;46
11/04/2014;198
12/04/2014;97
13/04/2014;26
14/04/2014;151
15/04/2014;97
16/04/2014;107
17/04/2014;85
18/04/2014;74
19/04/2014;25
20/04/2014;27
21/04/2014;24
22/04/2014;152
23/04/2014;114
24/04/2014;125
25/04/2014;118
26/04/2014;27
27/04/2014;40
28/04/2014;174
29/04/2014;123
30/04/2014;115
01/05/2014;43
02/05/2014;134
03/05/2014;120
04/05/2014;30
05/05/2014;118
06/05/2014;129
07/05/2014;27
08/05/2014;94
09/05/2014;140
10/05/2014;37
11/05/2014;119
12/05/2014;134
13/05/2014;183
14/05/2014;132
15/05/2014;158
16/05/2014;105
17/05/2014;29
18/05/2014;32
19/05/2014;149
20/05/2014;131
21/05/2014;157
22/05/2014;132
23/05/2014;111
24/05/2014;24
25/05/2014;25
26/05/2014;194
27/05/2014;141
28/05/2014;126
29/05/2014;29
30/05/2014;62
31/05/2014;34
01/06/2014;237
02/06/2014;139
03/06/2014;129
04/06/2014;29
05/06/2014;136
06/06/2014;103
07/06/2014;59
08/06/2014;106
09/06/2014;53
10/06/2014;183
11/06/2014;155
12/06/2014;40
13/06/2014;115
14/06/2014;42
15/06/2014;33
16/06/2014;192
17/06/2014;130
18/06/2014;112
19/06/2014;131
20/06/2014;126
21/06/2014;42
22/06/2014;45
23/06/2014;198
24/06/2014;152
25/06/2014;149
26/06/2014;153
27/06/2014;105
28/06/2014;27
